code,name,parent,depth,raw_weight,rounded_weight,official_type
0109,Medical supplies & appliances,0107,2,30404943,86,Group
6141,Disposable diapers (for babies),0109,3,1422683,4,Item
6142,Disposable diapers (for adults),0109,3,2134032,6,Item
6101,Sanitary napkins,0109,3,2665465,8,Item
6095,Bath additives,0109,3,2665465,8,Item
6181,Contact lenses cleaning solution,0109,3,888483,3,Item
6102,Masks,0109,3,2164200,6,Item
6182,Supplies for slight incontinence,0109,3,2665465,8,Item
6121,Spectacles,0109,3,6334639,18,Item
6161,Contact lenses,0109,3,4034443,11,Item
6171,Sphygmomanometers,0109,3,1086009,3,Item
6172,Hearing aids,0109,3,3258050,9,Item
6173,Supporters,0109,3,1086009,3,Item
0110,Medical services,0107,2,93060202,263,Group
6200,Medical treatment,0110,3,82726264,233,Item
6221,Charges for massage,0110,3,3829832,11,Item
6222,Fees for complete medical checkup,0110,3,3960163,11,Item
6223,Fees for vaccination,0110,3,2543943,7,Item
0111,Transportation & communication,0001,1,511544532,1444,Group
0112,Public transportation,0111,2,62835244,177,Group
0179,Railway fares (JR),0112,3,22398117,63,Group
7527,(ordinary fares),0179,4,9560032,27,Item
7528,"(special fares, excluding “Shinkansen”)",0179,4,2084613,6,Item
7530,"(special fares, for “Shinkansen”)",0179,4,5389801,15,Item
7029,(students' season tickets),0179,4,1318741,4,Item
7030,(commuters' season tickets),0179,4,4044930,11,Item
0180,Railway fares (excluding JR),0112,3,14907289,42,Group
7008,(ordinary fares),0180,4,7945168,22,Item
7009,(students' season tickets),0180,4,1359951,4,Item
7010,(commuters' season tickets),0180,4,5602170,16,Item
0181,Other public transportation,0112,3,17033652,48,Group
7050,Fixed route bus fares,0181,4,2638628,7,Item
7057,Expressway bus fares,0181,4,1760037,5,Item
7060,Taxi fares,0181,4,4306344,12,Item
7070,Airplane fares,0181,4,8328643,24,Item
0182,Highway tolls,0112,3,8496186,24,Group
7363,National expressway tolls,0182,4,6420894,18,Item
7364,City expressway tolls,0182,4,2075292,6,Item
0113,Private transportation,0111,2,328857072,928,Group
0114,Automobiles,0113,3,94395535,266,Group
7105,Light motor vehicles (0.66L or less),0114,4,18879961,53,Item
7106,Small motor vehicles,0114,4,16520507,47,Item
7113,Motor vehicles-A,0114,4,44834022,127,Item
7115,Motor vehicles-B,0114,4,14161045,40,Item
0115,Bicycles,0113,3,3358736,9,Group
7201,Bicycles-A,0115,4,2014319,6,Item
7202,Bicycles-B,0115,4,1344417,4,Item
0116,Automotive maintenance,0113,3,231102801,652,Group
7301,Gasoline,0116,4,69181855,195,Item
7311,Tires,0116,4,15963007,45,Item
7312,Automobile batteries,0116,4,3990751,11,Item
7313,Automobile navigations,0116,4,4223565,12,Item
7315,Drive recorders,0116,4,1407853,4,Item
7316,Helmets,0116,4,1407853,4,Item
7331,Automotive maintenance charges (regular inspections),0116,4,15209138,43,Item
7335,Automotive maintenance charges (puncture repairs),0116,4,12167315,34,Item
7341,Motor oil replacement,0116,4,8673253,24,Item
7342,Charges for garage rental,0116,4,11744066,33,Item
7343,Charges for parking,0116,4,3523625,10,Item
7351,Charges for driving license,0116,4,595548,2,Item
7344,Charges for rental car,0116,4,1620626,5,Item
7353,Car lease,0116,4,2264963,6,Item
7347,Car wash fees,0116,4,595548,2,Item
7350,Road services,0116,4,1191081,3,Item
7370,Automotive insurance premium (compulsion),0116,4,11716673,33,Item
7390,Automotive insurance premium (option),0116,4,65626081,185,Item
0117,Communication,0111,2,119852216,338,Group
7401,Postcards,0117,3,488237,1,Item
7402,Letters,0117,3,976486,3,Item
7410,Telephone charges (fixed-line phone),0117,3,11348482,32,Item
7430,Telephone charges (mobile phone),0117,3,81976154,231,Item
7433,Forwarding charges,0117,3,4568818,13,Item
7446,Mobile phones,0117,3,20494039,58,Item
0118,Education,0001,1,110104238,311,Group
0119,School fees,0118,2,79573626,225,Group
8001,PTA membership fees (elementary school),0119,3,4461847,13,Item
8002,PTA membership fees (junior high school),0119,3,3987822,11,Item
8010,Junior high school fees (private),0119,3,6037183,17,Item
8020,High school fees (public),0119,3,1005343,3,Item
8030,High school fees (private),0119,3,7603121,21,Item
8040,College & university fees (national),0119,3,4441332,13,Item
8060,College & university fees (private),0119,3,46254932,131,Item
8070,Junior college fees (private),0119,3,2443027,7,Item
8077,Special training school fees (private),0119,3,3339019,9,Item
0120,School textbooks & reference books for study,0118,2,2099663,6,Group
8110,School textbooks,0120,3,968660,3,Item
8100,Reference books for study,0120,3,1131003,3,Item
0121,Tutorial fees,0118,2,28430949,80,Group
8203,(elementary school),0121,3,7907977,22,Item
8201,(junior high school),0121,3,12141871,34,Item
8204,(high school & preparatory school),0121,3,7495705,21,Item
8205,Correspondence education,0121,3,885396,2,Item
0122,Culture & recreation,0001,1,320898162,906,Group
0123,Recreational durable goods,0122,2,25613499,72,Group
9013,TV sets,0123,3,5409680,15,Item
9034,Video recorders,0123,3,832692,2,Item
9078,Personal computers (desktop),0123,3,3741466,11,Item
9079,Personal computers (laptop),0123,3,6734278,19,Item
9080,Tablet computers,0123,3,2993256,8,Item
