"Timestamp","Country","Status","Iteration","Total","Percent","Elapsed","ETA","Updated","StatusFile"
"2026-09-21 16:43:35","AU","not found",,,,,,,
"2026-09-21 16:43:45","AU","not found",,,,,,,
"2026-09-21 16:43:55","AU","not found",,,,,,,
"2026-09-21 16:44:05","AU","not found",,,,,,,
"2026-09-21 16:44:15","AU","not found",,,,,,,
"2026-09-21 16:44:25","AU","not found",,,,,,,
"2026-09-21 16:44:35","AU","not found",,,,,,,
"2026-09-21 16:44:45","AU","not found",,,,,,,
"2026-09-21 16:44:55","AU","not found",,,,,,,
"2026-09-21 16:45:05","AU","not found",,,,,,,
"2026-09-21 16:45:15","AU","not found",,,,,,,
"2026-09-21 16:45:25","AU","not found",,,,,,,
"2026-09-21 16:45:35","AU","not found",,,,,,,
"2026-09-21 16:45:45","AU","not found",,,,,,,
"2026-09-21 16:45:55","AU","not found",,,,,,,
"2026-09-21 16:46:05","AU","not found",,,,,,,
"2026-09-21 16:46:15","AU","not found",,,,,,,
"2026-09-21 16:46:25","AU","not found",,,,,,,
"2026-09-21 16:46:35","AU","not found",,,,,,,
"2026-09-21 16:46:45","AU","not found",,,,,,,
"2026-09-21 16:46:55","AU","not found",,,,,,,
"2026-09-21 16:47:05","AU","not found",,,,,,,
"2026-09-21 16:47:15","AU","not found",,,,,,,
"2026-09-21 16:47:25","AU","not found",,,,,,,
"2026-09-21 16:47:35","AU","not found",,,,,,,
"2026-09-21 16:47:45","AU","not found",,,,,,,
"2026-09-21 16:47:55","AU","not found",,,,,,,
"2026-09-21 16:48:05","AU","not found",,,,,,,
"2026-09-21 16:48:15","AU","not found",,,,,,,
"2026-09-21 16:48:25","AU","not found",,,,,,,
"2026-09-21 16:48:35","AU","not found",,,,,,,
"2026-09-21 16:48:45","AU","not found",,,,,,,
"2026-09-21 16:48:55","AU","not found",,,,,,,
"2026-09-21 16:49:05","AU","not found",,,,,,,
"2026-09-21 16:49:15","AU","not found",,,,,,,
"2026-09-21 16:49:25","AU","not found",,,,,,,
"2026-09-21 16:49:35","AU","not found",,,,,,,
"2026-09-21 16:49:45","AU","not found",,,,,,,
"2026-09-21 16:49:56","AU","not found",,,,,,,
"2026-09-21 16:50:06","AU","not found",,,,,,,
"2026-09-21 16:50:16","AU","not found",,,,,,,
"2026-09-21 16:50:26","AU","not found",,,,,,,
"2026-09-21 16:50:36","AU","not found",,,,,,,
"2026-09-21 16:50:46","AU","not found",,,,,,,
"2026-09-21 16:50:56","AU","not found",,,,,,,
"2026-09-21 16:51:06","AU","not found",,,,,,,
"2026-09-21 16:51:16","AU","not found",,,,,,,
"2026-09-21 16:51:26","AU","not found",,,,,,,
"2026-09-21 16:51:36","AU","not found",,,,,,,
"2026-09-21 16:51:46","AU","not found",,,,,,,
"2026-09-21 16:51:56","AU","not found",,,,,,,
"2026-09-21 16:52:06","AU","not found",,,,,,,
"2026-09-21 16:52:16","AU","not found",,,,,,,
"2026-09-21 16:52:26","AU","not found",,,,,,,
"2026-09-21 16:52:36","AU","not found",,,,,,,
"2026-09-21 16:52:46","AU","not found",,,,,,,
"2026-09-21 16:52:56","AU","not found",,,,,,,
"2026-09-21 16:53:06","AU","not found",,,,,,,
"2026-09-21 16:53:16","AU","not found",,,,,,,
"2026-09-21 16:53:26","AU","not found",,,,,,,
"2026-09-21 16:53:36","AU","not found",,,,,,,
"2026-09-21 16:53:46","AU","not found",,,,,,,
