Section/Chart Name,,MCT Common to all,,,,Trend Inflation,,Sector Aggs,,,Sector Specifc,,,,,
Top-Level-Route,,MCT,MCT,MCT,MCT,trend-inflation,trend-inflation,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific
Radio Button Routes,,,,,,,,,,,all: goods,all: goods,all: services-ex-housing,all: services-ex-housing,all: housing,all: housing
column name,Date,MCT,MCT,MCT,MCT,Headline PCE inflation (YoY),Core PCE inflation (YoY),Goods,Services ex. housing,Housing,Goods: Common,Goods: Sector-specific,Services ex. housing: Common,Services ex. housing: Sector-specific,Housing: Common,Housing: Sector-specific
,10/1/1968,4.47,4.76,5.01,2.93,4.27,4.6,1.75,1.2,-0.03,1.21,0.52,0.88,0.31,0.07,-0.11
,11/1/1968,4.44,4.71,4.98,2.88,4.28,4.67,1.71,1.19,-0.02,1.19,0.49,0.87,0.31,0.07,-0.1
,12/1/1968,4.4,4.68,4.95,2.85,4.33,4.72,1.63,1.23,0,1.16,0.45,0.86,0.35,0.07,-0.08
,1/1/1969,4.47,4.77,5.07,2.94,4.25,4.65,1.66,1.27,0,1.23,0.41,0.91,0.34,0.07,-0.08
,2/1/1969,4.42,4.71,5.01,2.88,4.1,4.56,1.64,1.23,0.01,1.24,0.39,0.91,0.31,0.07,-0.07
,3/1/1969,4.9,5.19,5.47,3.36,4.25,4.63,1.86,1.45,0.05,1.48,0.37,1.1,0.34,0.09,-0.05
,4/1/1969,4.97,5.24,5.53,3.42,4.38,4.65,1.88,1.47,0.07,1.5,0.37,1.11,0.34,0.09,-0.03
,5/1/1969,4.75,5.02,5.3,3.19,4.41,4.68,1.72,1.38,0.09,1.36,0.36,1.02,0.34,0.09,0
,6/1/1969,4.54,4.82,5.11,2.99,4.58,4.63,1.62,1.27,0.1,1.25,0.35,0.95,0.32,0.08,0.01
,7/1/1969,4.68,4.95,5.24,3.12,4.72,4.76,1.67,1.31,0.13,1.31,0.35,0.99,0.31,0.08,0.04
,8/1/1969,4.41,4.69,4.97,2.87,4.58,4.65,1.52,1.22,0.12,1.18,0.33,0.88,0.32,0.07,0.04
,9/1/1969,4.6,4.88,5.17,3.05,4.65,4.65,1.59,1.32,0.14,1.26,0.31,0.96,0.35,0.08,0.06
,10/1/1969,4.49,4.78,5.05,2.95,4.55,4.67,1.48,1.31,0.15,1.2,0.27,0.91,0.38,0.08,0.07
,11/1/1969,4.47,4.75,5.03,2.93,4.65,4.67,1.45,1.3,0.17,1.18,0.27,0.91,0.37,0.07,0.09
,12/1/1969,4.39,4.66,4.95,2.83,4.91,4.75,1.39,1.27,0.18,1.14,0.24,0.87,0.38,0.07,0.1
,1/1/1970,4.19,4.49,4.78,2.67,4.88,4.7,1.31,1.17,0.19,1.08,0.23,0.83,0.32,0.07,0.11
,2/1/1970,4.38,4.67,4.95,2.84,5.03,4.74,1.4,1.25,0.19,1.16,0.22,0.91,0.32,0.07,0.11
,3/1/1970,4.18,4.47,4.76,2.64,4.79,4.64,1.27,1.16,0.21,1.05,0.21,0.83,0.32,0.07,0.13
,4/1/1970,4.3,4.6,4.9,2.77,4.86,4.65,1.34,1.21,0.21,1.12,0.21,0.88,0.31,0.07,0.14
,5/1/1970,4.02,4.31,4.61,2.49,4.77,4.61,1.21,1.06,0.21,0.97,0.21,0.77,0.27,0.06,0.15
,6/1/1970,4.16,4.45,4.74,2.62,4.54,4.62,1.3,1.09,0.23,1.03,0.25,0.82,0.26,0.06,0.15
,7/1/1970,4.22,4.51,4.77,2.68,4.46,4.53,1.34,1.08,0.25,1.08,0.26,0.86,0.21,0.07,0.17
,8/1/1970,4.14,4.43,4.73,2.61,4.45,4.6,1.31,1.03,0.26,1.04,0.25,0.82,0.19,0.07,0.19
,9/1/1970,4.54,4.84,5.13,3.01,4.48,4.62,1.48,1.25,0.28,1.22,0.24,0.99,0.24,0.08,0.19
,10/1/1970,4.82,5.12,5.43,3.29,4.65,4.68,1.61,1.36,0.31,1.38,0.23,1.11,0.23,0.09,0.21
,11/1/1970,4.92,5.2,5.5,3.38,4.6,4.82,1.63,1.4,0.34,1.42,0.21,1.16,0.22,0.1,0.23
,12/1/1970,4.72,5.02,5.31,3.19,4.59,4.96,1.57,1.28,0.34,1.34,0.22,1.09,0.17,0.09,0.23
,1/1/1971,4.5,4.8,5.11,2.97,4.44,5.03,1.54,1.14,0.3,1.25,0.27,0.98,0.14,0.08,0.21
,2/1/1971,4.36,4.66,4.94,2.83,4.33,5.02,1.45,1.09,0.29,1.18,0.26,0.93,0.14,0.07,0.2
,3/1/1971,4.3,4.59,4.89,2.76,4.41,4.97,1.42,1.06,0.27,1.15,0.26,0.9,0.14,0.07,0.2
,4/1/1971,4.59,4.88,5.18,3.05,4.3,4.95,1.57,1.2,0.27,1.29,0.26,1.01,0.17,0.08,0.19
,5/1/1971,4.48,4.76,5.04,2.93,4.4,5.03,1.48,1.19,0.26,1.23,0.24,0.97,0.19,0.07,0.18
,6/1/1971,4.45,4.74,5.04,2.92,4.59,5.07,1.49,1.19,0.23,1.25,0.23,0.98,0.2,0.07,0.16
,7/1/1971,4.22,4.51,4.82,2.69,4.52,5.07,1.36,1.12,0.2,1.15,0.21,0.91,0.19,0.06,0.14
,8/1/1971,3.95,4.27,4.59,2.44,4.55,4.86,1.25,1.02,0.17,1.04,0.2,0.82,0.17,0.05,0.11
,9/1/1971,3.26,3.56,3.87,1.73,4.24,4.59,0.95,0.67,0.12,0.72,0.21,0.56,0.1,0.03,0.08
,10/1/1971,2.71,3.04,3.36,1.21,3.88,4.24,0.68,0.44,0.08,0.48,0.2,0.36,0.07,0.01,0.06
,11/1/1971,2.83,3.15,3.46,1.32,3.69,3.94,0.75,0.49,0.08,0.55,0.2,0.42,0.06,0.02,0.05
,12/1/1971,3.23,3.53,3.86,1.7,3.64,3.75,0.96,0.67,0.08,0.75,0.2,0.59,0.06,0.03,0.05
,1/1/1972,3.45,3.78,4.1,1.95,3.84,3.78,1.12,0.74,0.08,0.88,0.22,0.68,0.04,0.03,0.04
,2/1/1972,3.03,3.33,3.65,1.5,3.95,3.67,0.89,0.54,0.07,0.69,0.2,0.53,-0.01,0.02,0.04
,3/1/1972,2.66,2.96,3.27,1.13,3.76,3.54,0.73,0.36,0.05,0.52,0.19,0.4,-0.06,0.01,0.03
,4/1/1972,2.69,3.01,3.32,1.18,3.51,3.39,0.77,0.36,0.05,0.57,0.19,0.43,-0.09,0.01,0.03
,5/1/1972,2.69,3.01,3.33,1.18,3.31,3.18,0.77,0.35,0.06,0.58,0.18,0.44,-0.11,0.01,0.04
,6/1/1972,2.81,3.12,3.45,1.29,3.01,2.98,0.82,0.4,0.08,0.65,0.17,0.49,-0.11,0.02,0.05
,7/1/1972,3.11,3.42,3.74,1.59,3.07,2.88,0.97,0.53,0.09,0.81,0.15,0.61,-0.1,0.02,0.06
,8/1/1972,3,3.33,3.66,1.51,3.07,2.96,0.92,0.47,0.11,0.76,0.15,0.58,-0.13,0.02,0.08
,9/1/1972,3.19,3.51,3.85,1.69,3.37,3.13,1.03,0.52,0.12,0.87,0.15,0.66,-0.16,0.02,0.09
,10/1/1972,3.01,3.35,3.7,1.52,3.33,3.03,0.95,0.45,0.12,0.8,0.14,0.59,-0.17,0.02,0.09
,11/1/1972,3.11,3.46,3.77,1.63,3.42,3.07,0.98,0.48,0.15,0.84,0.14,0.62,-0.16,0.02,0.12
,12/1/1972,3.22,3.56,3.89,1.73,3.35,3.05,1.02,0.54,0.18,0.87,0.14,0.65,-0.13,0.02,0.15
,1/1/1973,3.23,3.58,3.94,1.75,3.24,2.68,1,0.58,0.18,0.88,0.12,0.64,-0.08,0.02,0.16
,2/1/1973,3.92,4.27,4.61,2.44,3.37,2.73,1.34,0.92,0.17,1.21,0.12,0.89,0.01,0.03,0.14
,3/1/1973,4.53,4.87,5.2,3.04,3.96,2.94,1.63,1.23,0.17,1.51,0.11,1.11,0.1,0.04,0.14
,4/1/1973,4.97,5.3,5.67,3.47,4.57,3.3,1.81,1.48,0.19,1.72,0.08,1.28,0.18,0.04,0.14
,5/1/1973,4.64,4.99,5.34,3.16,4.85,3.46,1.58,1.4,0.17,1.55,0.03,1.15,0.23,0.03,0.14
,6/1/1973,4.72,5.09,5.45,3.26,5.29,3.69,1.58,1.51,0.16,1.58,-0.02,1.2,0.29,0.03,0.13
,7/1/1973,4.43,4.81,5.18,2.98,5.3,3.84,1.4,1.41,0.17,1.42,-0.04,1.07,0.3,0.02,0.13
,8/1/1973,4.5,4.87,5.26,3.04,6.2,4.1,1.37,1.5,0.18,1.43,-0.07,1.09,0.38,0.02,0.15
,9/1/1973,4.67,5.05,5.42,3.22,6.15,4.28,1.49,1.56,0.16,1.55,-0.07,1.16,0.37,0.02,0.13
,10/1/1973,4.85,5.22,5.59,3.39,6.63,4.62,1.57,1.65,0.16,1.63,-0.07,1.24,0.39,0.02,0.14
,11/1/1973,5.49,5.87,6.25,4.04,7.18,4.85,1.95,1.93,0.16,2,-0.04,1.5,0.39,0.02,0.13
,12/1/1973,5.83,6.2,6.57,4.37,7.72,5.12,2.13,2.08,0.15,2.16,-0.03,1.64,0.4,0.02,0.13
,1/1/1974,6.77,7.15,7.51,5.32,8.43,5.57,2.72,2.46,0.13,2.71,0,2.04,0.4,0.01,0.11
,2/1/1974,7.45,7.83,8.21,6,9.12,5.91,3.13,2.72,0.13,3.09,0.04,2.33,0.37,0.02,0.11
,3/1/1974,8.49,8.87,9.27,7.04,9.6,6.3,3.79,3.12,0.13,3.7,0.1,2.77,0.35,0.02,0.11
,4/1/1974,9.33,9.71,10.09,7.88,9.56,6.48,4.3,3.42,0.16,4.16,0.14,3.1,0.31,0.02,0.13
