code,description,measure,name,frequency,unit,adjustment,source
A130398919C,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Education ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Education,Month,Percent,Original,640106.xlsx
A130394078X,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Insurance and financial services ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Insurance and financial services,Month,Percent,Original,640106.xlsx
A130390193J,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Housing and Insurance and financial services ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Housing and Insurance and financial services,Month,Percent,Original,640106.xlsx
A130390165X,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding Medical and hospital services ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding Medical and hospital services,Month,Percent,Original,640106.xlsx
A130391635X,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding food and energy ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding food and energy,Month,Percent,Original,640106.xlsx
A130389934J,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI excluding 'volatile items' ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI excluding 'volatile items',Month,Percent,Original,640106.xlsx
A130392951V,Percentage Change from Corresponding Month of Previous Year ;  Non-Discretionary ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Non-Discretionary,Month,Percent,Original,640106.xlsx
A130392930J,Percentage Change from Corresponding Month of Previous Year ;  Discretionary ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Discretionary,Month,Percent,Original,640106.xlsx
A130394267K,Percentage Change from Corresponding Month of Previous Year ;  Discretionary excluding tobacco ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Discretionary excluding tobacco,Month,Percent,Original,640106.xlsx
A130393722J,Percentage Change from Previous Period ;  All groups CPI ;  Australia ;,Percentage Change from Previous Period,All groups CPI,Month,Percent,Original,640106.xlsx
A130607784C,"Percentage Change from Previous Period ;  All groups CPI, seasonally adjusted ;  Australia ;",Percentage Change from Previous Period,"All groups CPI, seasonally adjusted",Month,Percent,Seasonally Adjusted,640106.xlsx
A130400383T,Percentage Change from Previous Period ;  Trimmed Mean ;  Australia ;,Percentage Change from Previous Period,Trimmed Mean,Month,Percent,Seasonally Adjusted,640106.xlsx
A130400614R,Percentage Change from Previous Period ;  Weighted Median ;  Australia ;,Percentage Change from Previous Period,Weighted Median,Month,Percent,Seasonally Adjusted,640106.xlsx
A130392364A,Percentage Change from Previous Period ;  Tradables ;  Australia ;,Percentage Change from Previous Period,Tradables,Month,Percent,Original,640106.xlsx
A130395031J,Percentage Change from Previous Period ;  Non-tradables ;  Australia ;,Percentage Change from Previous Period,Non-tradables,Month,Percent,Original,640106.xlsx
A130397426L,"Percentage Change from Previous Period ;  All groups, goods component ;  Australia ;",Percentage Change from Previous Period,"All groups, goods component",Month,Percent,Original,640106.xlsx
A130396116L,"Percentage Change from Previous Period ;  All groups, services component ;  Australia ;",Percentage Change from Previous Period,"All groups, services component",Month,Percent,Original,640106.xlsx
A130395059K,Percentage Change from Previous Period ;  Market goods and services excluding 'volatile items' - Goods ;  Australia ;,Percentage Change from Previous Period,Market goods and services excluding 'volatile items' - Goods,Month,Percent,Original,640106.xlsx
A130396144W,Percentage Change from Previous Period ;  Market goods and services excluding 'volatile items' - Total ;  Australia ;,Percentage Change from Previous Period,Market goods and services excluding 'volatile items' - Total,Month,Percent,Original,640106.xlsx
A130392406L,Percentage Change from Previous Period ;  Market goods and services excluding 'volatile items' - Services ;  Australia ;,Percentage Change from Previous Period,Market goods and services excluding 'volatile items' - Services,Month,Percent,Original,640106.xlsx
A130398644C,Percentage Change from Previous Period ;  All groups CPI excluding 'volatile items' and holiday travel ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding 'volatile items' and holiday travel,Month,Percent,Original,640106.xlsx
A130397650F,Percentage Change from Previous Period ;  All groups CPI excluding Food and non-alcoholic beverages ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Food and non-alcoholic beverages,Month,Percent,Original,640106.xlsx
A130392665F,Percentage Change from Previous Period ;  All groups CPI excluding Alcohol and tobacco ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Alcohol and tobacco,Month,Percent,Original,640106.xlsx
A130396368J,Percentage Change from Previous Period ;  All groups CPI excluding Clothing and footwear ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Clothing and footwear,Month,Percent,Original,640106.xlsx
