,Motor vehicles and parts,Furnishings and durable household equipment,Recreational goods and vehicles,Other durable goods,Food and beverages purchased for off-premises consumption,Clothing and footwear,Gasoline and other energy goods,Other nondurable goods,Housing excluding gas and electric utilities,Gas and electric utilities,Health care,Transportation services,Recreation services,Food services and accommodations,Financial services and insurance,Other services,Final consumption expenditures of nonprofit institutions serving households (NPISHs)
1980-09,14.68016211833596,11.718547345469998,9.189454883201954,5.217976975054239,16.701683051526995,4.533860817347346,-0.18868978542587733,7.839856362792608,13.94655309090924,7.744485213079355,13.658744452477123,22.660250959898143,9.190478845084971,10.257028266126955,18.223266448482022,10.601623425034123,10.679185445462158
1980-10,3.2031273319497178,5.330368951855569,2.360139485109536,-2.9940043627690316,10.106383471643298,8.361735305563677,7.044475492857605,5.351023440438629,13.88840670076572,8.366751126773808,15.379304940063033,11.834395414682785,5.905338007345806,8.356041346580302,31.180100466122916,7.175680144267482,4.413000424578706
1980-11,10.993579699564137,4.165572306055276,6.323015003949561,16.580762704447327,14.847039144952756,3.0993508422409777,4.266815196860252,6.04999662596426,9.455753785604614,10.58596021635909,11.701149343621676,10.251801359717682,0.0379128946727203,9.972808969577862,27.81555180920239,9.775634584150694,14.590453155679771
1980-12,3.641118778665464,3.1837833298013596,1.8386372651985061,4.94470483484426,8.076613517952168,2.386993351203537,12.89716820543747,11.216033734101561,10.660126796015001,14.661890926072108,7.038718646145847,14.684938088273736,6.116137490451701,10.016127685243536,4.458282335613739,7.899659398291492,5.454677338058556
1981-01,5.312142591144475,6.36152327949473,4.547561599348304,7.544047402128218,1.716044606987377,0.43728749806135614,62.25641148859877,8.824125711419883,9.733022329902585,12.786457992773514,20.102573462080198,15.683845568286836,12.802491936412185,11.184165727812424,27.40067134498778,11.444699836445583,-2.6759908862035053
1981-02,5.059886767694266,17.9197742794589,4.033701888645491,-12.581290776491194,3.289745597801619,7.19448661665556,105.00743625509404,9.384255268341724,9.515097442014376,18.722612045461172,10.133847009838902,15.893896980813116,14.429539369046829,16.51214885650503,-2.925139834353896,10.852714953439246,18.316176736252455
1981-03,-3.3308848140155223,8.342858226175931,6.2892726353628525,-0.8272639430188855,6.127063541010647,2.8623621317930503,41.90169393063785,6.145274700984427,8.771242692107517,9.934834282333437,11.061375042514566,19.612864983810052,-1.539841227006633,6.553549058439434,0.8734629065975108,12.287618704847514,8.62904318284472
1981-04,18.646181271461405,5.115676152969084,7.061018852325662,7.925513359748559,-1.179966001477517,5.486657510077775,-16.548586160068226,10.020882031471778,8.64044029637161,18.946818807171127,7.977166375271105,2.0361049039852697,1.3017221668477186,7.582002251976805,-0.3616305635299577,13.345610751515991,6.381436350649339
1981-05,23.0556704774199,5.40681341818956,2.1255321038464947,1.363891641207693,-2.761798282781658,0.07387570079275818,-15.63492011659564,14.11805596941118,13.631370247646469,11.373805067035182,6.782615934708502,-4.766934055402416,4.715465750631753,7.377194569739931,1.4957542246299083,7.133511093982237,39.696314822754175
1981-06,10.382535895389221,7.076617548629915,-0.35648797331289117,0.8906597691543006,2.976022074081053,2.3511151745558845,-10.908255363706443,7.114975755938779,7.744293013218018,13.162905435837867,10.183582304524009,12.504108216739107,4.00840692125648,6.903569596356496,-9.212778789411791,8.414066707273204,9.666167035402085
